,HINDEX_L1,Hour,CATEGORY
17550,6.0,17,unknown
17551,6.0,13,unknown
17552,4.0,11,unknown
17553,6.0,12,unknown
17554,5.0,11,unknown
17555,6.0,15,unknown
17556,6.0,16,unknown
17557,5.0,16,match or lighter
17558,6.0,12,others
17559,4.0,15,unknown
17560,2.0,8,unknown
17561,3.0,14,"setting fires in nature and in landfills, burning grasses"
17562,3.0,20,"setting fires in nature and in landfills, burning grasses"
17563,4.0,17,unknown
17564,6.0,12,"setting fires in nature and in landfills, burning grasses"
17565,6.0,13,unknown
17566,5.0,20,unknown
17567,3.0,13,unknown
17568,4.0,18,unknown
17569,4.0,11,unknown
17570,4.0,17,unknown
17571,4.0,9,unknown
17572,5.0,14,unknown
17573,4.0,12,unknown
17574,6.0,12,unknown
17575,5.0,17,unknown
17576,4.0,14,others
17577,5.0,14,unknown
17578,4.0,13,unknown
17579,4.0,17,unknown
17580,5.0,17,unknown
17581,3.0,20,unknown
17582,3.0,21,unknown
17583,2.0,10,"setting fires in nature and in landfills, burning grasses"
17584,3.0,16,unknown
17585,3.0,19,unknown
17586,4.0,15,unknown
17587,5.0,18,unknown
17588,3.0,17,unknown
17589,3.0,16,unknown
17590,5.0,13,"setting fires in nature and in landfills, burning grasses"
17591,4.0,16,unknown
17592,4.0,14,unknown
17593,4.0,18,unknown
17594,4.0,20,others
17595,4.0,8,unknown
17596,6.0,0,unknown
17597,4.0,12,others
17598,6.0,15,unknown
17599,3.0,20,unknown
17600,2.0,7,unknown
17601,6.0,12,unknown
17602,4.0,8,unknown
17603,6.0,18,unknown
17604,5.0,14,unknown
17605,4.0,13,unknown
17606,5.0,14,others
17607,6.0,14,others
17608,2.0,12,others
17609,4.0,13,unknown
17610,4.0,17,"setting fires in nature and in landfills, burning grasses"
17611,4.0,18,"setting fires in nature and in landfills, burning grasses"
17612,6.0,12,others
17613,6.0,14,unknown
17614,5.0,14,unknown
17615,6.0,13,"setting fires in nature and in landfills, burning grasses"
17616,4.0,13,unknown
17617,5.0,18,unknown
17618,6.0,14,unknown
17619,4.0,14,"setting fires in nature and in landfills, burning grasses"
17620,5.0,12,unknown
17621,3.0,18,unknown
17622,5.0,15,unknown
17623,4.0,18,unknown
17624,6.0,17,unknown
17625,6.0,13,others
17626,5.0,10,unknown
17627,5.0,18,unknown
17628,5.0,15,"setting fires in nature and in landfills, burning grasses"
17629,2.0,18,unknown
17630,3.0,21,unknown
17631,5.0,15,unknown
17632,5.0,17,unknown
17633,5.0,14,unknown
17634,6.0,17,unknown
17635,4.0,15,unknown
17636,4.0,14,"setting fires in nature and in landfills, burning grasses"
17637,4.0,19,"setting fires in nature and in landfills, burning grasses"
17638,5.0,21,unknown
17639,6.0,16,unknown
17640,6.0,18,unknown
17641,4.0,16,unknown
17642,6.0,13,"setting fires in nature and in landfills, burning grasses"
17643,5.0,13,unknown
17644,5.0,11,others
17645,6.0,18,unknown
17646,6.0,16,unknown
17647,4.0,10,unknown
17648,5.0,12,unknown
17649,2.0,9,unknown
17650,3.0,14,unknown
17651,6.0,15,unknown
17652,4.0,22,unknown
17653,6.0,13,others
17654,5.0,16,unknown
17655,3.0,17,unknown
17656,3.0,3,unknown
17657,4.0,18,unknown
17658,3.0,15,unknown
17659,4.0,17,unknown
17660,4.0,7,unknown
17661,3.0,16,"setting fires in nature and in landfills, burning grasses"
17662,4.0,14,others
17663,5.0,15,unknown
17664,3.0,10,unknown
17665,5.0,21,unknown
17666,3.0,14,"setting fires in nature and in landfills, burning grasses"
17667,3.0,17,unknown
17668,5.0,14,unknown
17669,4.0,13,match or lighter
17670,5.0,16,match or lighter
17671,3.0,7,unknown
17672,4.0,15,unknown
17673,6.0,17,unknown
17674,4.0,11,unknown
17675,3.0,10,cigarette butt
17676,2.0,11,unknown
17677,3.0,19,others
17678,5.0,12,"setting fires in nature and in landfills, burning grasses"
17679,2.0,18,unknown
17680,5.0,14,cigarette butt
17681,4.0,16,"setting fires in nature and in landfills, burning grasses"
17682,6.0,12,"setting fires in nature and in landfills, burning grasses"
17683,3.0,8,match or lighter
17684,4.0,7,others
17685,4.0,14,others
17686,3.0,20,"setting fires in nature and in landfills, burning grasses"
17687,6.0,13,"setting fires in nature and in landfills, burning grasses"
17688,4.0,12,"setting fires in nature and in landfills, burning grasses"
17689,3.0,18,unknown
17690,3.0,11,match or lighter
17691,5.0,18,cigarette butt
17692,6.0,13,unknown
17693,4.0,16,"setting fires in nature and in landfills, burning grasses"
17694,6.0,12,"setting fires in nature and in landfills, burning grasses"
17695,5.0,15,"setting fires in nature and in landfills, burning grasses"
17696,5.0,14,match or lighter
17697,3.0,19,others
17698,4.0,19,cigarette butt
17699,4.0,12,unknown
17700,5.0,19,unknown
17701,5.0,14,"setting fires in nature and in landfills, burning grasses"
17702,4.0,20,unknown
17703,6.0,15,"setting fires in nature and in landfills, burning grasses"
17704,6.0,15,unknown
17705,3.0,11,"setting fires in nature and in landfills, burning grasses"
17706,4.0,18,"setting fires in nature and in landfills, burning grasses"
17707,3.0,13,unknown
17708,6.0,14,unknown
17709,5.0,21,unknown
17710,4.0,21,"setting fires in nature and in landfills, burning grasses"
17711,6.0,22,others
17712,6.0,13,unknown
17713,4.0,3,unknown
17714,6.0,13,"setting fires in nature and in landfills, burning grasses"
17715,5.0,11,unknown
17716,6.0,13,unknown
17717,5.0,16,arson
17718,5.0,22,unknown
17719,4.0,18,unknown
17720,3.0,11,"setting fires in nature and in landfills, burning grasses"
17721,6.0,14,unknown
17722,5.0,17,"setting fires in nature and in landfills, burning grasses"
17723,4.0,10,"setting fires in nature and in landfills, burning grasses"
17724,3.0,22,"setting fires in nature and in landfills, burning grasses"
17725,4.0,18,"setting fires in nature and in landfills, burning grasses"
17726,4.0,18,unknown
17727,5.0,19,unknown
17728,6.0,18,unknown
17729,6.0,12,unknown
17730,5.0,15,unknown
17731,6.0,23,unknown
17732,3.0,10,"setting fires in nature and in landfills, burning grasses"
17733,5.0,15,unknown
17734,6.0,15,cigarette butt
17735,6.0,21,cigarette butt
17736,5.0,15,"setting fires in nature and in landfills, burning grasses"
17737,5.0,13,unknown
17738,6.0,18,unknown
17739,4.0,11,unknown
17740,6.0,12,unknown
17741,6.0,15,unknown
17742,6.0,13,others
17743,6.0,17,"setting fires in nature and in landfills, burning grasses"
17744,5.0,15,"setting fires in nature and in landfills, burning grasses"
17745,3.0,15,"setting fires in nature and in landfills, burning grasses"
17746,4.0,16,"setting fires in nature and in landfills, burning grasses"
17747,5.0,13,"setting fires in nature and in landfills, burning grasses"
17748,3.0,15,"setting fires in nature and in landfills, burning grasses"
17749,5.0,23,others
17750,5.0,14,unknown
17751,6.0,12,unknown
17752,5.0,14,others
17753,5.0,14,"setting fires in nature and in landfills, burning grasses"
17754,5.0,12,"setting fires in nature and in landfills, burning grasses"
17755,6.0,22,"setting fires in nature and in landfills, burning grasses"
17756,6.0,13,"setting fires in nature and in landfills, burning grasses"
17757,6.0,23,"setting fires in nature and in landfills, burning grasses"
17758,2.0,21,"setting fires in nature and in landfills, burning grasses"
17759,5.0,13,"setting fires in nature and in landfills, burning grasses"
17760,3.0,16,"setting fires in nature and in landfills, burning grasses"
17761,3.0,10,"setting fires in nature and in landfills, burning grasses"
17762,5.0,15,"setting fires in nature and in landfills, burning grasses"
17763,4.0,15,"setting fires in nature and in landfills, burning grasses"
17764,4.0,16,"setting fires in nature and in landfills, burning grasses"
17765,6.0,16,"setting fires in nature and in landfills, burning grasses"
17766,5.0,16,"setting fires in nature and in landfills, burning grasses"
17767,5.0,12,"setting fires in nature and in landfills, burning grasses"
17768,4.0,14,"setting fires in nature and in landfills, burning grasses"
17769,5.0,19,match or lighter
17770,3.0,19,match or lighter
17771,6.0,12,unknown
17772,5.0,14,match or lighter
17773,5.0,19,cigarette butt
17774,4.0,15,others
17775,4.0,17,match or lighter
17776,5.0,18,match or lighter
17777,6.0,16,match or lighter
17778,6.0,15,unknown
17779,6.0,15,unknown
17780,6.0,14,unknown
17781,5.0,20,match or lighter
17782,4.0,15,cigarette butt
17783,4.0,16,match or lighter
17784,4.0,5,match or lighter
17785,4.0,6,cigarette butt
17786,6.0,17,match or lighter
17787,5.0,21,match or lighter
17788,6.0,15,match or lighter
17789,4.0,11,match or lighter
17790,4.0,10,match or lighter
17791,4.0,18,match or lighter
17792,6.0,17,match or lighter
17793,6.0,18,match or lighter
17794,4.0,20,others
17795,6.0,13,match or lighter
17796,6.0,12,match or lighter
17797,3.0,15,match or lighter
17798,3.0,15,match or lighter
17799,4.0,20,match or lighter
17800,3.0,8,match or lighter
17801,5.0,8,match or lighter
17802,6.0,22,match or lighter
17803,6.0,14,match or lighter
17804,5.0,14,others
17805,4.0,14,match or lighter
17806,5.0,13,match or lighter
17807,3.0,19,match or lighter
17808,6.0,13,match or lighter
17809,6.0,13,match or lighter
17810,5.0,17,match or lighter
17811,4.0,14,match or lighter
17812,3.0,19,match or lighter
17813,4.0,22,match or lighter
17814,2.0,11,match or lighter
17815,3.0,19,match or lighter
17816,6.0,12,match or lighter
17817,5.0,16,unknown
17818,6.0,12,others
17819,5.0,13,"setting fires in nature and in landfills, burning grasses"
17820,4.0,14,"setting fires in nature and in landfills, burning grasses"
17821,6.0,19,unknown
17822,5.0,16,unknown
17823,4.0,5,unknown
17824,4.0,14,unknown
17825,3.0,7,arson
17826,4.0,19,unknown
17827,3.0,10,arson
17828,4.0,11,arson
17829,3.0,18,unknown
17830,6.0,14,unknown
17831,3.0,19,unknown
17832,6.0,13,unknown
17833,5.0,15,unknown
17834,4.0,16,unknown
17835,3.0,18,unknown
17836,5.0,20,unknown
17837,5.0,16,others
17838,5.0,21,unknown
17839,4.0,17,unknown
17840,3.0,21,"setting fires in nature and in landfills, burning grasses"
17841,3.0,18,unknown
17842,6.0,19,arson
17843,5.0,19,"setting fires in nature and in landfills, burning grasses"
17844,4.0,19,"setting fires in nature and in landfills, burning grasses"
17845,5.0,18,"setting fires in nature and in landfills, burning grasses"
17846,5.0,10,"setting fires in nature and in landfills, burning grasses"
17847,5.0,20,"setting fires in nature and in landfills, burning grasses"
17848,4.0,9,unknown
17849,5.0,20,unknown
17850,4.0,14,"setting fires in nature and in landfills, burning grasses"
17851,6.0,21,"setting fires in nature and in landfills, burning grasses"
17852,6.0,20,"setting fires in nature and in landfills, burning grasses"
17853,6.0,15,unknown
17854,5.0,19,unknown
17855,2.0,20,unknown
17856,2.0,19,others
17857,3.0,1,"setting fires in nature and in landfills, burning grasses"
17858,6.0,14,unknown
17859,2.0,17,"setting fires in nature and in landfills, burning grasses"
17860,6.0,16,"setting fires in nature and in landfills, burning grasses"
17861,6.0,13,unknown
17862,6.0,13,others
17863,3.0,20,match or lighter
17864,5.0,20,unknown
17865,5.0,15,unknown
17866,6.0,17,unknown
17867,5.0,17,unknown
17868,4.0,11,others
17869,4.0,11,match or lighter
17870,3.0,18,match or lighter
17871,4.0,17,unknown
17872,4.0,15,match or lighter
17873,5.0,18,others
17874,6.0,17,unknown
17875,5.0,17,unknown
17876,3.0,18,unknown
17877,6.0,12,unknown
17878,5.0,15,unknown
17879,3.0,4,unknown
17880,4.0,1,unknown
17881,6.0,16,others
17882,6.0,13,others
17883,6.0,17,unknown
17884,6.0,13,match or lighter
17885,5.0,21,match or lighter
17886,6.0,18,unknown
17887,5.0,19,unknown
17888,5.0,14,unknown
17889,5.0,16,unknown
17890,4.0,12,match or lighter
17891,6.0,16,match or lighter
17892,6.0,18,unknown
17893,6.0,18,unknown
17894,6.0,16,unknown
17895,5.0,15,others
17896,6.0,13,others
17897,5.0,13,unknown
17898,6.0,12,unknown
17899,3.0,10,unknown
17900,5.0,7,others
17901,6.0,14,unknown
17902,5.0,18,unknown
17903,4.0,14,unknown
17904,6.0,15,unknown
17905,4.0,15,match or lighter
17906,5.0,6,others
17907,5.0,19,others
17908,6.0,16,"setting fires in nature and in landfills, burning grasses"
17909,3.0,16,unknown
17910,4.0,10,unknown
17911,6.0,16,unknown
17912,5.0,15,"setting fires in nature and in landfills, burning grasses"
17913,3.0,11,"setting fires in nature and in landfills, burning grasses"
17914,6.0,17,"setting fires in nature and in landfills, burning grasses"
17915,4.0,22,unknown
17916,3.0,9,unknown
17917,4.0,18,"setting fires in nature and in landfills, burning grasses"
17918,4.0,19,unknown
17919,2.0,16,unknown
17920,4.0,23,unknown
17921,2.0,15,"setting fires in nature and in landfills, burning grasses"
17922,2.0,10,unknown
17923,4.0,21,unknown
17924,3.0,5,"setting fires in nature and in landfills, burning grasses"
17925,6.0,19,"setting fires in nature and in landfills, burning grasses"
17926,4.0,18,unknown
17927,4.0,3,arson
17928,3.0,19,"setting fires in nature and in landfills, burning grasses"
17929,4.0,15,cigarette butt
17930,3.0,8,unknown
17931,6.0,17,unknown
17932,6.0,13,arson
17933,6.0,19,unknown
17934,4.0,19,unknown
17935,5.0,16,unknown
17936,3.0,21,unknown
17937,3.0,18,unknown
17938,3.0,17,unknown
17939,3.0,8,unknown
17940,6.0,16,cigarette butt
17941,5.0,12,unknown
17942,3.0,19,unknown
17943,3.0,17,unknown
17944,3.0,4,unknown
17945,6.0,19,unknown
17946,4.0,11,unknown
17947,5.0,13,unknown
17948,3.0,17,match or lighter
17949,4.0,13,match or lighter
17950,4.0,12,match or lighter
17951,4.0,14,unknown
17952,5.0,19,match or lighter
17953,4.0,16,match or lighter
17954,6.0,21,others
17955,4.0,17,unknown
17956,6.0,16,others
17957,6.0,17,unknown
17958,5.0,16,unknown
17959,6.0,12,unknown
17960,6.0,13,match or lighter
17961,3.0,13,match or lighter
17962,3.0,15,unknown
17963,3.0,5,others
17964,6.0,15,unknown
17965,5.0,14,unknown
17966,5.0,20,match or lighter
17967,5.0,19,unknown
17968,4.0,10,match or lighter
17969,6.0,16,unknown
17970,6.0,18,unknown
17971,6.0,20,unknown
17972,3.0,12,unknown
17973,6.0,13,unknown
17974,5.0,14,unknown
17975,4.0,16,unknown
17976,6.0,16,others
17977,4.0,15,unknown
17978,5.0,13,unknown
17979,4.0,12,unknown
17980,4.0,18,unknown
17981,6.0,16,unknown
17982,4.0,19,unknown
17983,5.0,16,unknown
17984,2.0,14,unknown
17985,3.0,6,unknown
17986,5.0,2,unknown
17987,5.0,15,unknown
17988,6.0,12,"setting fires in nature and in landfills, burning grasses"
17989,3.0,16,"setting fires in nature and in landfills, burning grasses"
17990,4.0,11,unknown
17991,6.0,16,others
17992,4.0,21,unknown
17993,5.0,23,arson
17994,3.0,7,others
17995,5.0,18,unknown
17996,2.0,11,unknown
17997,3.0,17,unknown
17998,6.0,15,unknown
17999,6.0,15,others
18000,5.0,19,unknown
18001,6.0,14,unknown
18002,3.0,19,unknown
18003,5.0,20,unknown
18004,4.0,22,unknown
18005,4.0,4,unknown
18006,4.0,5,unknown
18007,2.0,11,unknown
18008,6.0,14,unknown
18009,2.0,11,unknown
18010,6.0,21,unknown
18011,6.0,19,unknown
18012,3.0,23,unknown
18013,5.0,18,"setting fires in nature and in landfills, burning grasses"
18014,4.0,17,unknown
18015,3.0,18,others
18016,5.0,18,unknown
18017,5.0,16,unknown
18018,6.0,12,cigarette butt
18019,5.0,19,others
18020,4.0,23,match or lighter
18021,6.0,17,cigarette butt
18022,5.0,18,others
18023,3.0,20,match or lighter
18024,5.0,15,cigarette butt
18025,5.0,13,cigarette butt
18026,3.0,22,cigarette butt
18027,5.0,13,cigarette butt
18028,6.0,15,match or lighter
18029,6.0,13,cigarette butt
18030,5.0,12,others
18031,5.0,12,others
18032,4.0,10,cigarette butt
18033,5.0,14,others
18034,5.0,18,cigarette butt
18035,3.0,19,cigarette butt
18036,4.0,16,match or lighter
18037,4.0,13,match or lighter
18038,4.0,11,match or lighter
18039,6.0,16,others
18040,5.0,13,match or lighter
18041,3.0,8,others
18042,5.0,21,unknown
18043,6.0,13,match or lighter
18044,6.0,16,match or lighter
18045,6.0,16,match or lighter
18046,6.0,22,match or lighter
18047,6.0,13,match or lighter
18048,5.0,15,match or lighter
18049,3.0,10,others
18050,2.0,0,match or lighter
18051,5.0,21,match or lighter
18052,3.0,11,match or lighter
18053,6.0,13,match or lighter
18054,6.0,14,others
18055,6.0,15,others
18056,5.0,3,match or lighter
18057,3.0,10,match or lighter
18058,4.0,18,match or lighter
18059,3.0,10,others
18060,3.0,2,unknown
18061,5.0,16,match or lighter
18062,5.0,16,cigarette butt
18063,3.0,18,match or lighter
18064,6.0,20,match or lighter
18065,6.0,15,match or lighter
18066,5.0,15,match or lighter
18067,3.0,20,cigarette butt
18068,3.0,18,match or lighter
18069,5.0,15,match or lighter
18070,3.0,21,cigarette butt
18071,3.0,15,match or lighter
18072,4.0,17,match or lighter
18073,3.0,11,match or lighter
18074,6.0,18,cigarette butt
18075,6.0,17,unknown
18076,4.0,22,"setting fires in nature and in landfills, burning grasses"
18077,5.0,15,cigarette butt
18078,5.0,12,cigarette butt
18079,6.0,16,cigarette butt
18080,6.0,14,"setting fires in nature and in landfills, burning grasses"
18081,4.0,16,unknown
18082,5.0,13,"setting fires in nature and in landfills, burning grasses"
18083,6.0,17,cigarette butt
18084,6.0,12,"setting fires in nature and in landfills, burning grasses"
18085,3.0,8,"setting fires in nature and in landfills, burning grasses"
18086,5.0,12,unknown
18087,5.0,16,"setting fires in nature and in landfills, burning grasses"
18088,6.0,14,"setting fires in nature and in landfills, burning grasses"
18089,4.0,18,"setting fires in nature and in landfills, burning grasses"
18090,3.0,11,unknown
18091,3.0,19,cigarette butt
18092,3.0,4,others
18093,6.0,22,unknown
18094,4.0,19,unknown
18095,6.0,12,match or lighter
18096,4.0,13,unknown
18097,4.0,18,unknown
18098,4.0,13,match or lighter
18099,4.0,23,unknown
18100,6.0,16,cigarette butt
18101,3.0,18,others
18102,4.0,14,cigarette butt
18103,4.0,14,"setting fires in nature and in landfills, burning grasses"
18104,3.0,9,unknown
18105,5.0,18,unknown
18106,6.0,18,unknown
18107,5.0,15,unknown
18108,6.0,14,unknown
18109,5.0,22,unknown
18110,5.0,22,unknown
18111,6.0,15,"setting fires in nature and in landfills, burning grasses"
18112,3.0,11,"setting fires in nature and in landfills, burning grasses"
18113,5.0,16,"setting fires in nature and in landfills, burning grasses"
18114,4.0,10,unknown
18115,6.0,20,unknown
18116,5.0,21,unknown
18117,6.0,13,unknown
18118,6.0,20,"setting fires in nature and in landfills, burning grasses"
18119,4.0,13,"setting fires in nature and in landfills, burning grasses"
18120,6.0,16,unknown
18121,2.0,20,unknown
18122,5.0,16,unknown
18123,3.0,17,unknown
18124,4.0,7,match or lighter
18125,4.0,14,match or lighter
18126,4.0,18,unknown
18127,2.0,9,unknown
18128,2.0,17,match or lighter
18129,4.0,11,unknown
18130,3.0,11,unknown
18131,6.0,15,match or lighter
18132,6.0,18,unknown
18133,6.0,18,unknown
18134,6.0,14,match or lighter
18135,6.0,14,match or lighter
18136,4.0,14,unknown
18137,4.0,14,match or lighter
18138,4.0,14,unknown
18139,5.0,14,"setting fires in nature and in landfills, burning grasses"
18140,4.0,9,unknown
18141,3.0,11,unknown
18142,6.0,20,unknown
18143,6.0,17,"setting fires in nature and in landfills, burning grasses"
18144,6.0,16,unknown
18145,5.0,11,unknown
18146,6.0,16,unknown
18147,3.0,20,unknown
18148,6.0,16,unknown
18149,5.0,15,unknown
18150,3.0,10,"setting fires in nature and in landfills, burning grasses"
18151,6.0,14,unknown
18152,6.0,17,unknown
18153,6.0,17,unknown
18154,4.0,20,"setting fires in nature and in landfills, burning grasses"
18155,6.0,12,"setting fires in nature and in landfills, burning grasses"
18156,6.0,17,unknown
18157,6.0,13,unknown
18158,6.0,15,"setting fires in nature and in landfills, burning grasses"
18159,6.0,15,unknown
18160,5.0,12,unknown
18161,6.0,14,unknown
18162,5.0,17,unknown
18163,3.0,11,unknown
18164,5.0,16,unknown
18165,4.0,16,unknown
18166,6.0,15,unknown
18167,5.0,0,unknown
18168,4.0,6,unknown
18169,6.0,12,unknown
18170,6.0,15,unknown
18171,3.0,19,unknown
18172,6.0,19,unknown
18173,3.0,1,unknown
18174,6.0,16,unknown
18175,6.0,15,unknown
18176,4.0,1,unknown
18177,5.0,18,match or lighter
18178,6.0,17,match or lighter
18179,6.0,14,match or lighter
18180,3.0,9,unknown
18181,6.0,15,unknown
18182,6.0,14,others
18183,6.0,15,unknown
18184,5.0,22,unknown
18185,4.0,11,unknown
18186,3.0,21,unknown
18187,6.0,14,unknown
18188,3.0,9,unknown
18189,3.0,21,unknown
18190,6.0,15,unknown
18191,3.0,10,unknown
18192,5.0,8,unknown
18193,5.0,14,unknown
18194,5.0,18,unknown
18195,4.0,16,unknown
18196,3.0,7,others
18197,4.0,16,others
18198,6.0,13,unknown
18199,5.0,18,unknown
18200,5.0,20,unknown
18201,5.0,19,unknown
18202,6.0,15,match or lighter
18203,4.0,10,match or lighter
18204,4.0,21,unknown
18205,6.0,13,unknown
18206,6.0,14,unknown
18207,6.0,13,unknown
18208,6.0,14,unknown
18209,5.0,23,unknown
18210,4.0,16,match or lighter
18211,4.0,11,unknown
18212,5.0,14,unknown
18213,6.0,15,"setting fires in nature and in landfills, burning grasses"
18214,5.0,14,lightning
18215,5.0,12,unknown
18216,3.0,23,arson
18217,6.0,18,unknown
18218,6.0,12,unknown
18219,6.0,17,unknown
18220,6.0,15,unknown
18221,6.0,15,unknown
18222,6.0,14,unknown
18223,4.0,18,unknown
18224,5.0,17,unknown
18225,6.0,17,match or lighter
18226,6.0,20,unknown
18227,6.0,17,unknown
18228,5.0,15,unknown
18229,4.0,14,unknown
18230,4.0,11,unknown
18231,4.0,12,unknown
18232,6.0,12,unknown
18233,6.0,16,match or lighter
18234,4.0,16,unknown
18235,4.0,16,match or lighter
18236,5.0,14,unknown
18237,6.0,17,unknown
18238,6.0,14,unknown
18239,4.0,15,unknown
18240,5.0,12,unknown
18241,6.0,18,unknown
18242,5.0,14,unknown
18243,4.0,10,unknown
18244,5.0,9,unknown
18245,3.0,10,unknown
18246,6.0,13,unknown
18247,6.0,12,unknown
18248,3.0,10,unknown
18249,3.0,10,"setting fires in nature and in landfills, burning grasses"
18250,3.0,11,"setting fires in nature and in landfills, burning grasses"
18251,4.0,10,unknown
18252,6.0,12,unknown
18253,6.0,16,unknown
18254,4.0,21,unknown
18255,6.0,16,unknown
18256,2.0,11,unknown
18257,6.0,15,unknown
18258,3.0,11,unknown
18259,6.0,16,unknown
18260,6.0,15,unknown
18261,6.0,15,unknown
18262,6.0,15,unknown
18263,6.0,13,unknown
18264,6.0,12,unknown
18265,6.0,22,unknown
18266,2.0,10,unknown
18267,4.0,14,unknown
18268,4.0,10,unknown
18269,6.0,13,unknown
18270,5.0,15,unknown
18271,4.0,13,unknown
18272,6.0,16,unknown
18273,6.0,16,"setting fires in nature and in landfills, burning grasses"
18274,3.0,7,unknown
18275,6.0,12,unknown
18276,6.0,14,"setting fires in nature and in landfills, burning grasses"
18277,4.0,11,"setting fires in nature and in landfills, burning grasses"
18278,4.0,10,unknown
18279,6.0,16,unknown
18280,5.0,11,unknown
18281,6.0,1,unknown
18282,6.0,14,"setting fires in nature and in landfills, burning grasses"
18283,5.0,23,unknown
18284,3.0,1,unknown
18285,6.0,13,unknown
18286,4.0,16,unknown
18287,6.0,14,unknown
18288,5.0,21,"setting fires in nature and in landfills, burning grasses"
18289,3.0,0,unknown
18290,4.0,9,unknown
18291,2.0,5,unknown
18292,6.0,18,unknown
18293,6.0,18,unknown
18294,6.0,21,unknown
18295,6.0,13,"setting fires in nature and in landfills, burning grasses"
18296,5.0,21,unknown
18297,6.0,13,unknown
18298,2.0,11,unknown
18299,6.0,19,unknown
18300,4.0,12,unknown
18301,6.0,14,unknown
18302,2.0,11,unknown
18303,5.0,11,unknown
18304,5.0,14,unknown
18305,5.0,13,unknown
18306,6.0,14,unknown
18307,5.0,12,others
18308,5.0,15,unknown
18309,4.0,10,unknown
18310,5.0,14,unknown
18311,5.0,18,others
18312,5.0,14,unknown
18313,4.0,18,unknown
18314,6.0,16,others
18315,3.0,5,unknown
18316,3.0,10,others
18317,5.0,5,unknown
18318,6.0,14,others
18319,6.0,13,unknown
18320,3.0,9,others
18321,6.0,15,others
18322,6.0,14,others
18323,6.0,12,others
18324,6.0,18,unknown
18325,6.0,13,unknown
18326,4.0,19,unknown
18327,5.0,16,unknown
18328,3.0,23,others
18329,4.0,10,unknown
18330,4.0,19,unknown
18331,4.0,20,others
18332,3.0,0,others
18333,6.0,13,others
18334,6.0,13,unknown
18335,6.0,14,unknown
18336,4.0,14,unknown
18337,4.0,12,others
18338,4.0,10,"setting fires in nature and in landfills, burning grasses"
18339,5.0,0,unknown
18340,5.0,15,unknown
18341,3.0,19,unknown
18342,4.0,19,"setting fires in nature and in landfills, burning grasses"
18343,4.0,12,unknown
18344,3.0,16,unknown
18345,4.0,15,unknown
18346,3.0,19,unknown
18347,4.0,12,unknown
18348,4.0,13,unknown
18349,5.0,16,unknown
18350,5.0,14,unknown
18351,3.0,9,unknown
18352,6.0,14,unknown
18353,3.0,9,unknown
18354,5.0,14,unknown
18355,3.0,8,unknown
18356,5.0,15,unknown
18357,3.0,13,unknown
18358,4.0,5,unknown
18359,3.0,23,unknown
18360,3.0,15,unknown
18361,4.0,16,unknown
18362,3.0,6,unknown
18363,3.0,15,unknown
18364,4.0,17,unknown
18365,4.0,11,unknown
18366,4.0,14,unknown
18367,3.0,15,unknown
18368,4.0,16,unknown
18369,3.0,10,unknown
18370,4.0,13,unknown
18371,4.0,8,unknown
18372,5.0,21,unknown
18373,3.0,13,unknown
18374,5.0,17,unknown
18375,3.0,16,unknown
18376,5.0,18,unknown
18377,3.0,19,unknown
18378,3.0,13,unknown
18379,6.0,15,unknown
18380,5.0,14,others
18381,5.0,17,unknown
18382,4.0,19,match or lighter
18383,4.0,13,others
18384,3.0,10,others
18385,3.0,19,others
18386,3.0,19,unknown
18387,5.0,17,unknown
18388,4.0,10,unknown
18389,4.0,6,unknown
18390,5.0,16,unknown
18391,4.0,20,unknown
18392,4.0,14,unknown
18393,4.0,10,others
18394,4.0,17,unknown
18395,3.0,12,others
18396,6.0,15,others
18397,4.0,18,unknown
18398,3.0,15,unknown
18399,3.0,13,unknown
18400,6.0,15,others
18401,5.0,22,match or lighter
18402,5.0,13,unknown
18403,4.0,17,unknown
18404,4.0,19,unknown
18405,3.0,18,unknown
18406,4.0,16,unknown
18407,6.0,14,others
18408,3.0,14,unknown
18409,4.0,14,unknown
18410,4.0,17,unknown
18411,3.0,15,unknown
18412,4.0,16,unknown
18413,4.0,15,unknown
18414,4.0,11,unknown
18415,3.0,9,unknown
18416,3.0,16,unknown
18417,3.0,15,arson
18418,5.0,13,unknown
18419,4.0,17,unknown
18420,4.0,16,unknown
18421,4.0,16,unknown
18422,5.0,12,unknown
18423,3.0,14,unknown
18424,5.0,13,unknown
18425,4.0,12,unknown
18426,2.0,11,unknown
18427,5.0,15,unknown
18428,4.0,15,"setting fires in nature and in landfills, burning grasses"
18429,3.0,13,unknown
18430,3.0,13,unknown
18431,4.0,9,unknown
18432,4.0,16,unknown
18433,6.0,12,others
18434,4.0,16,unknown
18435,5.0,13,match or lighter
18436,3.0,11,others
18437,5.0,10,unknown
18438,3.0,11,unknown
18439,6.0,16,unknown
18440,3.0,20,unknown
18441,5.0,11,others
18442,3.0,16,unknown
18443,3.0,16,unknown
18444,3.0,20,"setting fires in nature and in landfills, burning grasses"
18445,5.0,5,unknown
18446,5.0,11,others
18447,5.0,15,unknown
18448,5.0,19,"setting fires in nature and in landfills, burning grasses"
18449,3.0,11,"setting fires in nature and in landfills, burning grasses"
18450,3.0,7,match or lighter
18451,5.0,16,cigarette butt
18452,3.0,15,cigarette butt
18453,4.0,17,unknown
18454,3.0,13,arson
18455,6.0,12,unknown
18456,5.0,15,arson
