,HINDEX_L1,Hour,CATEGORY
568,6.0,14,unknown
569,2.0,9,unknown
570,4.0,12,"setting fires in nature and in landfills, burning grasses"
571,4.0,17,unknown
572,3.0,17,others
573,2.0,5,unknown
574,5.0,12,unknown
575,6.0,15,others
576,3.0,17,unknown
577,6.0,13,unknown
578,3.0,14,"setting fires in nature and in landfills, burning grasses"
579,5.0,15,unknown
580,3.0,20,unknown
581,5.0,19,unknown
582,3.0,22,unknown
583,3.0,4,others
584,3.0,15,cigarette butt
585,4.0,16,others
586,5.0,3,match or lighter
587,3.0,15,"setting fires in nature and in landfills, burning grasses"
588,3.0,7,lightning
589,3.0,17,unknown
590,4.0,4,"setting fires in nature and in landfills, burning grasses"
591,3.0,16,unknown
592,3.0,18,cigarette butt
593,3.0,6,others
594,5.0,15,"setting fires in nature and in landfills, burning grasses"
595,6.0,15,unknown
596,6.0,14,"setting fires in nature and in landfills, burning grasses"
597,3.0,10,"setting fires in nature and in landfills, burning grasses"
598,3.0,18,others
599,4.0,12,unknown
600,3.0,17,"setting fires in nature and in landfills, burning grasses"
601,4.0,18,cigarette butt
602,3.0,20,"setting fires in nature and in landfills, burning grasses"
603,4.0,18,others
604,5.0,16,cigarette butt
605,6.0,15,unknown
606,6.0,18,cigarette butt
607,6.0,16,others
608,4.0,19,unknown
609,6.0,17,unknown
610,2.0,8,unknown
611,6.0,13,unknown
612,4.0,14,unknown
613,4.0,16,unknown
614,4.0,15,"setting fires in nature and in landfills, burning grasses"
615,5.0,13,unknown
616,3.0,11,"setting fires in nature and in landfills, burning grasses"
617,3.0,0,unknown
618,2.0,8,unknown
619,2.0,16,unknown
620,3.0,10,unknown
621,4.0,18,unknown
622,6.0,13,unknown
623,5.0,16,unknown
624,6.0,2,unknown
625,5.0,20,unknown
626,6.0,19,match or lighter
627,6.0,18,match or lighter
628,4.0,10,match or lighter
629,5.0,14,match or lighter
630,5.0,14,others
631,4.0,11,unknown
632,5.0,17,unknown
633,4.0,16,unknown
634,4.0,16,unknown
635,4.0,17,unknown
636,6.0,16,match or lighter
637,3.0,17,unknown
638,3.0,9,"setting fires in nature and in landfills, burning grasses"
639,4.0,18,"setting fires in nature and in landfills, burning grasses"
640,6.0,17,unknown
641,2.0,22,unknown
642,2.0,11,unknown
643,4.0,11,match or lighter
644,6.0,21,unknown
645,5.0,21,"setting fires in nature and in landfills, burning grasses"
646,3.0,15,others
647,2.0,3,unknown
648,2.0,3,unknown
649,5.0,14,unknown
650,6.0,13,others
651,3.0,11,unknown
652,5.0,14,unknown
653,6.0,14,unknown
654,3.0,16,others
655,5.0,16,match or lighter
656,4.0,18,match or lighter
657,3.0,9,unknown
658,5.0,15,unknown
659,5.0,16,unknown
